id,name,color,description,size,price,created_date
1,Stylish Dress,purple,Sporty classic lightweight synthetic luxury minimal soft machine-washable denim eco-friendly. Modern adjustable wool soft classic sporty eco-friendly minimal outdoor sporty. Classic handmade modern lightweight polyester canvas edition silk casual comfortable durable stretch denim outdoor stylish.,XL,322.15,2021-05-23T12:54:14
2,Vintage Sweater,yellow,Machine-washable nylon limited perfect modern secure breathable soft cotton easy-care synthetic vintage canvas limited stylish. Silk soft design synthetic premium limited stylish secure handmade nylon elegant premium design durable.,XL,752.44,2025-09-09T12:37:50
3,Stylish Backpack,red,Comfortable machine-washable premium lightweight canvas everyday casual breathable denim leather eco-friendly travel breathable adjustable stylish. Breathable premium denim lightweight nylon synthetic edition stretch elegant secure comfort. Eco-friendly soft stylish outdoor urban limited soft modern waterproof breathable.,L,350.22,2019-09-09T20:39:32
4,Lightweight Backpack,orange,Stretch soft silk stretch lightweight stretch minimal durable stylish stylish luxury leather versatile eco-friendly. Eco-friendly eco-friendly casual modern durable silk synthetic affordable elegant lightweight secure. Design breathable comfortable edition limited affordable synthetic secure premium travel sporty leather canvas comfort cotton stretch.,XL,129.19,2024-03-05T02:12:35
5,Lightweight Watch,brown,Edition vintage stretch comfortable premium soft elegant luxury wool travel edition nylon elegant classic edition.,L,171.74,2024-03-26T23:41:22
6,Premium Cap,navy,Soft urban leather synthetic everyday versatile denim denim stylish perfect. Eco-friendly edition everyday affordable stretch vintage classic machine-washable secure comfortable machine-washable cotton adjustable polyester breathable perfect. Urban denim affordable breathable breathable luxury adjustable silk sporty sporty.,XXL,298.95,2020-04-19T21:33:14
7,Casual Sweater,orange,Silk edition design classic cotton stylish adjustable affordable casual comfort soft comfort leather classic modern.,XL,695.88,2019-02-06T11:13:13
8,Stylish Cap,blue,Travel leather polyester silk eco-friendly stylish stretch secure denim wool durable comfortable breathable versatile silk. Durable luxury casual versatile stylish machine-washable vintage handmade leather perfect leather silk everyday.,XL,345.32,2019-09-10T09:38:32
9,Classic Sweater,yellow,Handmade classic eco-friendly nylon denim affordable machine-washable affordable cotton outdoor design breathable machine-washable synthetic handmade limited. Secure soft stylish luxury durable premium silk handmade modern design modern classic machine-washable.,XS,747.76,2025-04-20T12:05:44
10,Durable T-shirt,black,Vintage outdoor canvas eco-friendly silk wool polyester waterproof. Affordable lightweight stylish casual soft sporty eco-friendly luxury waterproof soft stretch classic silk luxury secure.,XXL,649.67,2022-04-01T21:50:12
11,Premium Watch,yellow,Comfortable elegant nylon comfort classic wool urban classic perfect easy-care urban easy-care. Lightweight modern casual secure handmade lightweight handmade lightweight limited classic silk. Comfort leather canvas sporty minimal classic modern travel design waterproof modern design classic nylon.,XXL,503.57,2023-12-31T12:11:10
12,Comfort Sunglasses,purple,Lightweight lightweight stylish handmade soft soft synthetic travel stretch stylish denim silk comfort sporty minimal machine-washable. Comfortable machine-washable vintage stylish perfect luxury comfort casual soft waterproof canvas denim. Soft stretch edition adjustable comfort everyday waterproof urban synthetic breathable comfort synthetic handmade adjustable leather synthetic.,M,37.06,2021-05-16T06:45:04
13,Comfort Jeans,gray,Cotton lightweight denim durable stylish durable travel stretch.,XS,219.95,2020-07-18T07:08:46
14,Stylish Sneakers,orange,Design lightweight polyester stylish edition durable eco-friendly synthetic adjustable comfortable machine-washable canvas synthetic everyday canvas minimal. Vintage design machine-washable lightweight edition lightweight handmade limited vintage stretch outdoor stylish versatile synthetic limited. Durable urban outdoor durable luxury design modern minimal classic everyday synthetic minimal secure.,L,352.56,2024-12-25T10:39:06
15,Comfort Sneakers,black,Comfortable handmade perfect synthetic cotton stretch durable everyday classic cotton comfortable.,S,647.03,2023-08-24T01:59:45
16,Elegant Cap,red,Secure luxury affordable lightweight cotton adjustable breathable leather outdoor secure soft minimal minimal. Limited handmade outdoor classic limited affordable durable perfect soft stylish design. Comfortable elegant machine-washable lightweight soft easy-care design adjustable design stylish.,XL,816.44,2020-08-02T15:41:48
17,Soft Jacket,gray,Premium classic canvas vintage lightweight soft affordable adjustable.,XS,770.31,2025-01-29T15:31:49
18,Soft Sneakers,orange,Wool lightweight affordable handmade eco-friendly secure design sporty versatile modern.,M,472.32,2019-12-14T06:32:20
19,Stylish Boots,orange,Everyday modern denim cotton classic affordable stretch comfort vintage comfortable soft leather. Modern modern vintage handmade travel silk urban lightweight. Soft stretch machine-washable adjustable eco-friendly stylish soft modern outdoor synthetic nylon versatile comfort modern.,XL,7.42,2022-05-17T18:04:37
20,Lightweight Watch,black,Versatile modern comfort polyester soft outdoor comfortable luxury urban. Cotton urban luxury eco-friendly wool perfect eco-friendly everyday vintage cotton. Stylish edition limited luxury classic secure urban premium lightweight stylish.,M,600.35,2019-01-12T20:22:02
21,Comfort Skirt,red,Machine-washable synthetic soft limited everyday wool lightweight wool polyester soft travel edition wool stretch. Comfortable casual nylon affordable premium comfort classic waterproof perfect denim affordable versatile perfect comfort durable modern.,XL,551.19,2022-10-31T21:20:06
22,Vintage Sneakers,purple,Vintage silk comfortable easy-care waterproof sporty polyester stretch nylon classic stylish secure sporty elegant cotton stylish.,M,579.42,2021-09-23T02:19:33
23,Modern Cap,red,Cotton edition silk versatile vintage affordable modern leather durable machine-washable leather. Stylish wool soft comfort elegant edition limited easy-care stretch stylish urban canvas. Sporty everyday eco-friendly canvas urban waterproof urban synthetic waterproof sporty everyday secure synthetic.,XL,595.17,2024-10-27T14:42:44
24,Lightweight Backpack,white,Polyester canvas cotton durable waterproof modern classic premium denim.,XS,104.31,2024-09-16T19:06:06
25,Premium Jeans,orange,Polyester edition soft stretch easy-care lightweight modern versatile elegant travel perfect comfort soft travel soft. Vintage premium urban stylish modern durable affordable elegant.,M,598.1,2022-04-02T01:02:47
26,Elegant Sweater,white,Lightweight urban waterproof elegant easy-care canvas minimal easy-care. Eco-friendly cotton leather lightweight classic polyester limited waterproof edition modern waterproof polyester eco-friendly perfect. Comfort cotton minimal stylish polyester canvas elegant design modern comfort urban canvas vintage.,XS,602.56,2019-12-01T16:43:11
27,Durable T-shirt,blue,Durable stylish edition durable vintage urban comfortable silk waterproof durable versatile breathable luxury lightweight synthetic stylish. Design luxury soft stylish everyday silk premium edition lightweight minimal classic modern. Urban casual wool outdoor perfect silk durable classic eco-friendly durable durable modern vintage.,L,916.6,2023-04-09T21:52:31
28,Comfort Sweater,black,Polyester machine-washable modern waterproof luxury lightweight stylish soft perfect. Lightweight durable stretch perfect handmade outdoor comfort perfect stretch stylish modern denim perfect lightweight synthetic premium. Minimal urban affordable premium lightweight lightweight modern canvas wool secure stylish versatile travel.,XL,491.79,2024-12-22T13:51:32
29,Soft Sneakers,pink,Lightweight nylon versatile edition everyday vintage stylish everyday synthetic soft stretch lightweight. Breathable vintage synthetic everyday canvas travel polyester wool nylon edition everyday stretch. Stretch synthetic lightweight perfect denim polyester comfortable polyester stretch casual waterproof sporty soft minimal limited.,L,630.31,2019-07-09T10:45:39
30,Lightweight Skirt,navy,Polyester sporty durable limited classic waterproof secure silk luxury. Secure eco-friendly edition design handmade silk edition versatile.,XXL,242.38,2023-05-03T14:56:18
31,Stylish Watch,green,Wool breathable secure luxury stylish vintage machine-washable wool edition premium stretch stretch adjustable soft stylish elegant. Minimal luxury breathable affordable versatile urban waterproof stretch comfortable modern travel.,L,328.84,2020-11-09T20:00:05
32,Classic Backpack,blue,Comfortable soft limited nylon travel durable lightweight stylish canvas edition adjustable waterproof machine-washable limited wool.,XL,536.45,2021-07-13T08:23:45
33,Sporty Cap,blue,Stretch modern outdoor classic luxury lightweight versatile easy-care. Stylish canvas machine-washable machine-washable elegant casual easy-care vintage design polyester modern stretch lightweight breathable secure. Elegant stylish handmade cotton modern travel minimal modern modern comfort edition vintage.,L,627.36,2019-04-08T21:12:08
34,Vintage Jeans,red,Adjustable leather wool easy-care durable versatile comfortable comfortable classic everyday. Handmade limited luxury everyday everyday eco-friendly denim silk eco-friendly machine-washable stylish luxury classic premium comfort comfortable. Polyester stylish adjustable secure comfortable adjustable polyester soft.,XS,980.44,2023-09-08T04:18:20
35,Sporty Jacket,blue,Durable wool versatile leather waterproof classic easy-care easy-care eco-friendly vintage outdoor.,XS,619.46,2021-11-10T03:23:56
36,Modern Backpack,yellow,Sporty synthetic stylish soft soft lightweight urban minimal soft elegant modern casual luxury modern handmade. Sporty stretch travel polyester versatile minimal urban waterproof. Classic perfect affordable machine-washable comfort nylon affordable stretch perfect comfort stylish.,XL,561.55,2019-11-12T07:23:46
37,Comfort Jacket,yellow,Cotton everyday affordable silk machine-washable stylish modern denim.,L,102.19,2019-12-08T04:30:58
38,Casual Jeans,pink,Secure outdoor vintage classic limited lightweight cotton modern classic classic canvas lightweight casual eco-friendly comfortable design.,S,700.83,2019-12-25T11:09:18
39,Elegant Jeans,white,Luxury soft comfortable silk limited synthetic casual premium lightweight outdoor perfect polyester luxury luxury.,XXL,954.12,2021-06-07T01:32:42
40,Comfort Sweater,white,Classic nylon perfect elegant lightweight easy-care stylish casual eco-friendly luxury minimal luxury modern breathable eco-friendly. Affordable durable polyester classic soft comfort versatile polyester wool breathable urban soft silk lightweight. Easy-care luxury easy-care handmade perfect leather limited versatile soft lightweight stretch adjustable.,M,324.17,2021-08-26T02:19:45
41,Lightweight Dress,pink,Comfort synthetic soft classic vintage comfortable sporty versatile durable wool lightweight travel casual easy-care cotton. Leather breathable perfect vintage wool wool versatile machine-washable lightweight classic soft stylish.,M,944.02,2024-12-30T14:15:59
42,Lightweight Dress,orange,Minimal comfortable wool travel lightweight silk classic durable minimal.,XL,48.75,2022-04-09T12:57:38
43,Lightweight Dress,yellow,Travel soft casual everyday perfect cotton secure soft soft leather travel versatile adjustable vintage affordable. Affordable premium stylish limited wool silk handmade classic sporty wool elegant machine-washable soft soft.,XXL,969.9,2022-09-13T23:10:09
44,Stylish Sneakers,yellow,Polyester travel casual stylish durable lightweight breathable everyday stylish secure sporty.,XXL,399.53,2023-09-22T19:01:15
45,Sporty Sweater,brown,Canvas easy-care breathable synthetic durable elegant easy-care cotton soft luxury nylon leather versatile nylon waterproof modern.,XS,452.12,2025-09-07T21:25:26
46,Premium Cap,orange,Machine-washable classic secure comfortable durable durable leather classic soft modern premium stylish stylish. Polyester breathable outdoor handmade durable cotton sporty modern.,M,171.46,2021-05-08T06:20:02
47,Elegant Cap,purple,Stylish canvas modern denim stylish elegant versatile easy-care. Breathable minimal lightweight modern premium nylon eco-friendly elegant premium. Wool premium casual casual perfect lightweight versatile canvas affordable lightweight soft soft design.,S,458.74,2020-06-01T07:26:32
48,Premium Backpack,gray,Versatile secure synthetic leather adjustable handmade comfort canvas luxury classic breathable modern adjustable classic. Lightweight adjustable soft denim eco-friendly secure lightweight vintage durable.,XL,333.19,2021-03-24T17:47:11
49,Vintage Jacket,purple,Perfect adjustable modern nylon casual affordable casual affordable leather affordable stylish minimal wool. Polyester casual limited canvas stylish durable soft eco-friendly limited modern silk lightweight wool denim classic machine-washable.,XS,513.71,2020-03-06T14:57:06
