_id,id,name,color,description,size,price,created_date
68e78f53ff830786228f6475,101,Vintage Sneakers,gray,Secure limited edition soft soft breathable classic travel lightweight silk everyday affordable.,XS,311.59,2023-04-01 13:53:04
68e78f53ff830786228f6476,102,Comfort Cap,yellow,Versatile premium sporty comfortable synthetic breathable breathable nylon everyday machine-washable sporty casual. Secure waterproof eco-friendly durable modern eco-friendly luxury polyester synthetic affordable modern eco-friendly.,XXL,185.59,2022-01-18 14:10:05
68e78f53ff830786228f6477,103,Casual Sweater,red,Sporty design comfort polyester design soft classic adjustable luxury classic lightweight silk premium silk denim. Denim breathable classic lightweight design stylish eco-friendly comfort lightweight cotton. Soft premium classic vintage elegant wool design luxury soft adjustable travel modern adjustable luxury stretch elegant.,L,764.7,2021-10-31 01:15:23
68e78f53ff830786228f6478,104,Durable Skirt,green,Luxury premium sporty stylish comfort soft elegant luxury leather vintage modern. Stylish comfort breathable affordable comfort durable eco-friendly sporty modern sporty versatile lightweight modern. Breathable edition travel synthetic elegant secure classic soft versatile.,L,842.16,2022-04-01 02:06:11
68e78f53ff830786228f6479,105,Stylish Sweater,green,Soft perfect elegant secure limited comfortable limited everyday design luxury polyester everyday lightweight soft. Elegant silk classic modern stylish minimal stylish design minimal.,L,531.33,2023-11-01 15:16:35
68e78f53ff830786228f647c,108,Soft Jacket,orange,Versatile comfort easy-care cotton synthetic stretch travel leather lightweight elegant affordable canvas perfect. Denim luxury edition edition versatile canvas premium synthetic perfect canvas durable breathable. Denim elegant classic soft polyester premium denim adjustable everyday limited.,XS,326.6,2025-05-11 13:20:09
68e78f53ff830786228f647d,109,Vintage Sunglasses,pink,Travel urban lightweight adjustable premium casual outdoor comfort classic soft classic classic perfect minimal travel. Eco-friendly cotton sporty soft waterproof leather urban lightweight durable durable.,M,376.84,2022-11-12 18:19:56
68e78f53ff830786228f647e,110,Comfort Cap,brown,Modern stretch comfort sporty elegant durable casual affordable cotton comfort versatile durable canvas wool nylon.,M,678.38,2024-01-18 22:17:13
68e78f53ff830786228f647f,111,Lightweight Boots,white,Classic sporty premium vintage machine-washable nylon perfect lightweight secure elegant wool lightweight. Classic secure modern handmade polyester waterproof comfortable silk perfect versatile limited waterproof stretch travel.,XL,354.96,2024-07-29 05:15:02
68e78f53ff830786228f6480,112,Comfort Backpack,green,Vintage vintage travel limited casual breathable affordable lightweight versatile. Denim durable urban stylish limited nylon premium modern stylish stylish outdoor elegant limited soft cotton. Durable stylish silk affordable affordable cotton nylon everyday soft canvas limited soft soft lightweight.,L,723.54,2025-06-13 14:17:14
